"crl.tot","dollar","bang","money","n000","make","yesno"
51,0,0,0,0,0,"n"
61,0,0,0,0,0,"n"
187,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
93,0,0.305,0,0,0,"y"
125,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
102,0.085,0.171,0.58,0,0,"y"
114,0.212,0.706,0,0,0,"y"
2453,0.532,0.613,0.63,0.59,0.59,"y"
200,0,1.088,0.42,0,0.42,"y"
54,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
143,0,0,0,0,0,"n"
184,0,0,0,0,0,"n"
270,0.997,0.407,0.25,1.25,0.25,"y"
8,0,0,0,0,0,"n"
272,0.269,0.539,0.52,1.57,0,"y"
8,0,0,0,0,0,"n"
123,0,0,0,0,0,"n"
238,0,1.336,0,0,0,"y"
22,0,0,0,0,0,"n"
47,0.138,0,0.87,0,0,"n"
77,0,0,0,0,0.26,"n"
212,0,0.059,0,0,0,"n"
77,0,0.079,0,0,0,"n"
25,0,0,0,0,0,"n"
3271,0.017,0.107,0,0,0,"y"
19,0,0,0,0,0,"n"
107,0.254,1.272,4.41,0,1.47,"y"
54,0.21,0,1.31,0,0,"y"
1795,0,0.004,0,0,0.18,"n"
877,0.233,0.404,0.29,0.09,0.19,"y"
101,0,0.119,0,0,0,"n"
294,0.082,0,0,0,0,"y"
12,0,0,0,0,0,"n"
114,0.135,0.271,0,0,0,"y"
505,0.034,0,0,0,0.12,"n"
93,0,0.293,0.59,0,0,"y"
9163,0.09,0.356,0.47,0.69,0.29,"y"
5,0,0,0,0,0,"n"
131,0,0.023,0,0,0.12,"n"
7,0,0,0,0,0,"n"
9090,0,0.034,0.04,0,0,"y"
419,0,0.055,0,0,0.12,"n"
967,0.681,0.754,0,0,0,"y"
278,0.322,0.092,0,0.61,0,"y"
26,0,0.74,0,0,0,"n"
17,0,0,0,0,1.04,"n"
38,0,0.102,0,0,1.19,"n"
1140,0.014,0.092,0.08,0.34,0.17,"y"
18,0,0,0,0,0,"n"
13,0,0.715,0,0,0,"y"
29,0,0.422,0,0,0,"n"
530,0,0.199,0,0,0,"y"
248,0.05,0.05,0,0,0,"n"
244,0.008,0,0,0.1,0.16,"n"
7,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
276,0,0.13,0.54,0,0,"y"
329,0.045,0.06,0.09,0,0,"y"
375,0,0.503,0,0,0,"y"
6,0,0,0,0,0,"n"
757,1.311,5.84,0.09,0,0.09,"y"
7,0,0,0,0,0,"n"
78,0,3.588,0,0,0,"y"
157,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
1328,0.106,0.902,0,0,0.34,"y"
76,0,0,0,0,0,"n"
1866,0,0,0,0,0,"n"
876,0.047,0.023,0,0,0,"n"
28,0,0,0,0,0,"y"
78,0,0.105,0,0,0.72,"y"
97,0,0,0,0,0.3,"n"
54,0.21,0,1.31,0,0,"y"
162,0,0,0,0,0,"y"
571,0.031,0,0,0,0.11,"n"
158,0.29,0,0.32,0.98,0,"y"
125,0,0.088,0,0,0,"y"
462,0,0,0,0,0,"n"
1107,0.182,0.127,0.34,0.17,0.34,"y"
2,0,0,0,0,0,"n"
19,0,0.505,0,0,0,"n"
5,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
35,0,0.175,0,0,0,"n"
537,0,0.028,0,0,0,"n"
106,0,0,0,0,0,"n"
447,0.305,0.249,0.18,0,0.18,"y"
286,0,0,0,0,0,"n"
72,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
118,0,0,0,0,0,"n"
535,0.032,0.257,0.09,0.36,0.09,"y"
132,0.118,0.355,0,0,0,"y"
574,0.014,0.099,0.08,0.34,0.17,"y"
116,0,0,0,0,0,"n"
92,0,0,0,0,0,"n"
77,0.167,0,0,0,0,"y"
11,0,0,0,0,0,"n"
21,0,0,0,0,0,"n"
156,0,0,0,0,0.58,"n"
115,0.341,0.682,0,0.78,0.78,"y"
347,0.21,0.841,0,0,0,"y"
205,0,0.357,0,0.35,0,"y"
53,0,0.347,0,0,0,"y"
13,0,0,0,0,1.63,"n"
5,0,0,0,0,0,"n"
1043,0.384,0.928,0.3,0,0.1,"y"
156,0.171,0,0,0,0,"y"
41,0,0,0,0,0,"n"
1329,0.185,0.212,0.08,0.89,0.17,"y"
9,0,0,0,0,0,"n"
23,0,0,0,0,0,"y"
92,0,0,0.42,0,0,"n"
11,0,0,0,0,0,"n"
116,0,0.834,0,0,0,"y"
50,0.154,0.464,0,0,0,"y"
150,0,0.163,0,0,0,"n"
27,0,0,0,0,0,"y"
140,0.24,0.24,0,1.42,0,"y"
1123,0.056,0.709,0.43,0.08,0.43,"y"
263,0,0,0,0,0,"n"
38,0.087,0,0,0,0,"n"
813,0.192,0.41,0.26,0.13,0.46,"y"
222,0.411,0.529,0.65,0.32,0.98,"y"
389,0.193,0.367,0.22,0,0.33,"y"
54,0,2.453,0,0,0,"y"
38,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
62,0,0,0,0,0,"n"
144,0,0.606,0,0,0,"y"
219,0.05,0.379,0.27,0.13,0.13,"y"
83,0,0,0,0,0,"n"
528,0.031,0.253,0.09,0.36,0.09,"y"
62,0,0.318,0,0,0,"n"
601,0.075,0.056,0,0,0,"n"
65,0,0,0,0,0,"n"
183,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
89,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
131,0,0,2.32,0,0,"y"
17,0,0,0,0,0,"n"
1081,0.058,0.022,0,0.05,0.1,"n"
261,0,0.198,0,0.4,0,"y"
60,0,0,0,0,0,"n"
52,0,0,0,0,0,"n"
1148,0.059,0.374,0.38,0,0.09,"y"
22,0,0.134,0,0,0,"n"
7,0,0,0,0,0,"n"
735,0.173,1.739,0,0,0.48,"y"
319,0.106,1.174,0,0,0.32,"y"
111,0,0,0,0,0,"n"
119,0.369,0.554,0,0.64,0.64,"y"
9,0,0,0,0,0,"n"
161,0.188,0.754,0,0,0,"y"
13,0,1.123,0,0,0,"n"
211,0.177,0,0,0,0,"y"
172,0,0.892,0,0,0,"y"
87,0,0,0,0,0.34,"n"
2453,0.531,0.612,0.63,0.59,0.59,"y"
20,0,0,0,0,0,"n"
80,0,0.312,0,0,0.59,"n"
477,0,0.203,0,0,0,"y"
2923,0.082,0.55,0.24,0.16,0.08,"y"
